City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Tiksi,RU,71.6872,128.8694,11.12,91,91,7.65
146,Da Nang,VN,16.0678,108.2208,84.18,74,75,2.3
147,Gilgit,PK,35.9221,74.3087,68.97,21,0,1.52
148,Weligama,LK,5.9667,80.4167,83.97,77,66,14.76
149,Coihaique,CL,-45.5752,-72.0662,40.95,81,90,5.75
150,Agadez,NE,19.75,10.25,74.73,19,7,7.67
151,Contamana,PE,-7.3333,-75.0167,75.92,76,100,1.45
152,Kurchum,KZ,48.5722,83.6542,49.1,30,2,1.1
153,Bathsheba,BB,13.2167,-59.5167,83.01,83,75,16.11
154,Padang,ID,-0.9492,100.3543,87.85,63,89,6.53
155,Kuryk,KZ,43.2,51.65,60.64,26,96,12.08
156,Provideniya,RU,64.3833,-173.3,32.11,59,75,13.42
157,Senador Pompeu,BR,-5.5881,-39.3717,77.22,78,75,4.92
158,Ouesso,CG,1.6136,16.0517,70.07,99,99,0.83
159,Brownsville,US,25.9018,-97.4975,81.91,85,75,1.01
160,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,68,20,9.22
161,Bac Lieu,VN,9.285,105.7244,88.43,61,47,7.09
162,Tilichiki,RU,60.4667,166.1,25.29,54,8,8.1
163,Fortuna,US,40.5982,-124.1573,52.2,92,1,0.0
164,Bilibino,RU,68.0546,166.4372,-6.03,100,92,2.06
165,East London,ZA,-33.0153,27.9116,61.74,88,75,9.22
166,Tsiroanomandidy,MG,-18.7667,46.0333,75.81,42,0,6.51
167,Russell,US,32.3502,-85.1999,67.6,93,1,0.0
168,Pisco,PE,-13.7,-76.2167,60.03,82,13,3.44
169,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,20.71
170,Maracacume,BR,-2.0428,-45.9592,73.06,93,71,2.86
171,Pevek,RU,69.7008,170.3133,19.67,93,100,2.51
172,Ambilobe,MG,-13.2,49.05,83.19,48,3,6.33
173,Dingle,PH,10.9995,122.6711,83.52,78,98,1.41
174,Cervo,ES,43.6702,-7.4101,57.97,54,7,4.5
175,Stromness,GB,58.965,-3.296,44.87,77,80,14.0
176,Tornio,FI,65.8481,24.1466,46.42,94,100,23.35
177,Katangli,RU,51.7102,143.2326,36.73,82,100,23.31
178,Grindavik,IS,63.8424,-22.4338,43.27,81,75,20.71
