City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
307,Dingle,10.9995,122.6711,75.78,92,100,3.6,PH,overcast clouds
308,Tokmak,47.2514,35.7058,56.07,52,100,6.33,UA,overcast clouds
309,Kambarka,56.2694,54.2062,42.13,60,73,7.99,RU,broken clouds
310,Plettenberg Bay,-34.0527,23.3716,53.78,73,100,16.58,ZA,light rain
311,Camocim,-2.9022,-40.8411,88.21,58,98,20.22,BR,overcast clouds
312,Manaure,11.7751,-72.4445,84.92,75,100,13.49,CO,light rain
313,Talnakh,69.4865,88.3972,26.85,96,100,15.3,RU,snow
314,Silute,55.3489,21.4831,50.88,72,96,19.53,LT,overcast clouds
315,Dunedin,-45.8742,170.5036,52.81,78,100,17.0,NZ,overcast clouds
316,Lorena,-22.7308,-45.1247,77.54,78,100,4.03,BR,overcast clouds
317,Kailua,21.4022,-157.7394,80.08,70,19,18.84,US,few clouds
318,Waddan,29.1614,16.139,69.85,26,0,9.37,LY,clear sky
319,Oranjemund,-28.55,16.4333,56.19,74,7,22.08,NA,clear sky
320,Muroto,33.2833,134.15,68.5,80,100,10.54,JP,overcast clouds
321,Suluova,40.8313,35.6479,64.26,52,0,13.8,TR,clear sky
322,Talaya,61.3833,152.75,-0.2,98,100,3.02,RU,overcast clouds
323,Tatvan,38.5067,42.2817,55.9,32,0,6.73,TR,clear sky
324,Adrar,20.5022,-10.0711,89.2,13,0,8.32,MR,clear sky
325,Road Town,18.4167,-64.6167,88.2,70,100,2.35,VG,overcast clouds
326,Thinadhoo,0.5333,72.9333,83.23,74,100,20.13,MV,overcast clouds
327,Verkhnetulomskiy,68.6073,31.7962,37.53,95,100,2.3,RU,overcast clouds
328,Palmer,42.1584,-72.3287,75.61,62,1,8.01,US,clear sky
329,Peno,56.9262,32.7426,42.94,81,99,10.47,RU,overcast clouds
330,Le Havre,49.4938,0.1077,58.12,79,0,4.61,FR,clear sky
331,Yuxia,34.0615,108.6291,52.84,77,56,2.48,CN,broken clouds
332,San Policarpo,12.1791,125.5072,78.75,88,20,5.44,PH,few clouds
333,Tarabuco,-19.1667,-64.9167,61.3,49,20,10.42,BO,few clouds
334,Mount Gambier,-37.8333,140.7667,48.11,93,90,6.91,AU,overcast clouds
335,Vicksburg,32.3526,-90.8779,72.55,32,1,17.27,US,clear sky
336,Agadez,19.75,10.25,83.05,33,0,18.05,NE,clear sky
337,Quang Ngai,15.1167,108.8,78.21,94,100,15.19,VN,heavy intensity rain
338,Jalapa,19.5333,-96.9167,74.34,50,85,5.44,MX,overcast clouds
339,Guerrero Negro,27.9769,-114.0611,83.64,23,0,2.04,MX,clear sky
340,Kendari,-3.945,122.4989,77.25,90,100,1.01,ID,overcast clouds
341,Gat,31.61,34.7642,72.81,55,100,3.15,IL,overcast clouds
342,Mareeba,-17.0,145.4333,69.44,92,49,2.1,AU,scattered clouds
343,Riyadh,24.6877,46.7219,84.65,16,0,6.58,SA,clear sky
344,Este,45.2229,11.6587,59.97,54,9,1.19,IT,clear sky
345,Kaeo,-35.1,173.7833,61.32,86,100,13.76,NZ,overcast clouds
346,Portobelo,9.55,-79.65,80.04,87,100,4.88,PA,overcast clouds
347,Woodstock,43.1334,-80.7497,61.66,68,56,15.99,CA,broken clouds
348,Ostrovnoy,68.0531,39.5131,38.17,86,100,13.87,RU,overcast clouds
349,Halifax,44.6453,-63.5724,62.49,78,90,1.01,CA,overcast clouds
